QuestionID,Answer,CP_Raw,CP_UN,CP_LN,MCP_output,MCP_Answer
Mercury_7175875,C,A,B,D,C,C
Mercury_SC_409171,B,D,D,D,B,B
Mercury_SC_408547,C,B,A,B,B,B
Mercury_407327,D,B,C,B,C,C
MCAS_2006_9_44,D,B,B,B,C,C
Mercury_7270393,B,D,B,D,D,"D. an infectious, chronic disease"
MCAS_2014_5_7,C,B,D,C,D,D
Mercury_7086660,C,A,A,A,A,A
Mercury_7168805,B,A,A,A,C,C.
MCAS_2003_8_11,A,A,A,A,B,B
Mercury_7250058,B,C,D,C,A,A
Mercury_7012740,A,A,A,A,B,B
Mercury_LBS10610,C,B,B,B,B,B
Mercury_SC_407400,C,B,D,B,D,D
Mercury_7212993,C,D,A,D,D,D
Mercury_SC_413240,A,A,A,B,A,A
Mercury_7186358,C,C,A,C,C,C
Mercury_7166425,B,B,B,B,B,B
MDSA_2007_8_3,A,C,C,C,D,D
Mercury_7094290,C,D,C,D,D,D
Mercury_7186568,B,A,A,B,B,B. breaking down wastes
Mercury_402216,B,B,B,B,B,B
Mercury_404894,A,C,A,C,C,C
MCAS_2002_8_11,C,C,C,C,B,B
Mercury_SC_405086,B,D,D,D,D,D
Mercury_SC_408324,D,B,A,B,B,B
Mercury_7218820,B,A,B,C,C,C
Mercury_412202,B,C,D,C,C,C
Mercury_SC_409139,C,D,B,B,C,C.
Mercury_400687,B,B,B,B,B,B
Mercury_7171605,D,B,B,B,D,D
Mercury_7210245,C,B,C,C,C,C
AKDE&ED_2008_4_25,A,C,D,A,B,B
AKDE&ED_2008_4_19,C,C,C,C,C,C
Mercury_SC_400402,A,D,B,D,C,C
Mercury_7234308,A,C,D,B,B,B
ACTAAP_2014_5_8,B,C,A,B,A,A
Mercury_400407,B,C,B,C,C,C
Mercury_7116288,C,C,D,C,C,C.
MCAS_2004_9_15-v1,B,C,A,C,D,D
NYSEDREGENTS_2015_4_26,C,C,C,C,C,C.
Mercury_SC_401620,A,A,B,D,D,D
