QuestionID,Answer,CP_Raw,CP_UN,CP_LN,MCP_output,MCP_Answer
075e483d21c29a511267ef62bedc0461,A,D,D,D,e,enforce
61fe6e879ff18686d7552425a36344c8,B,D,D,A,B,B
4c1cb0e95b99f72d55c068ba0255c54d,A,C,C,C,E,E
02e821a3e53cb320790950aab4489e85,D,C,C,C,G,Google Maps and other highway and street GPS services have replaced atlas.
23505889b94e880c3e89cff4ba119860,C,A,B,A,B,B
e8a8b3a2061aa0e6d7c6b522e9612824,D,E,E,B,t,tv
09555c056f3cf0b7e0b84d8df4be1db7,E,A,B,A,s,safe
3d0f8824ea83ddcc9ab03055658b89d3,B,C,A,C,b,b
86c59f14af97b33ec13edc6ec4389e31,E,B,D,B,i,inkwell
cae61908c731d4a20889e04c3e784ebe,D,E,E,E,E,E
1a7f5b3c65364d9be002576660c914fe,B,D,E,D,s,supermarket
dac769116ed064bc70936c15eb822c3e,C,D,A,D,B,"Before getting a divorce, what did the wife feel who was doing all the work?"
f5c9664c9930b704f2724fbd617bee9d,C,E,C,E,r,rest area
b63b9809c203321d6659ddf8551894bf,A,D,D,A,A,A
527e72eb38950b8031ee6217ef531960,C,A,C,A,l,living room
e6766a66f8d326bf00fbf628a0e4ef24,D,A,A,A,L,Louisiana
a76403b4921a9281b6ee2a7241a5ec9f,E,A,B,D,b,barbeque
ad96098698b8378b2e79c6424920ffbd,D,B,B,B,s,sick person
6d4ed2c485187ed79ff3bdcc8cca6132,D,C,C,C,S,Street
a40f5339ee858a0a119cbac052c5a2d0,B,A,C,A,e,e
4850bf8b6b309548ef623d5592ffbca2,E,E,E,E,e,e
e6d99b4b76f74961a400ad0001b13b73,B,D,B,D,A,A
f5950a62f9eaae34f1e914b3cf5208cf,D,C,D,C,c,computer network
f36489668c28b26c0cdbc56cec1db27b,E,D,E,D,c,car
0476192858e7f541611b5c2d3c5e5197,C,D,B,D,p,problems
df7861813910ae204c3bd0b3c16fe5d9,D,C,D,C,E,E
c12a904025471139df4f8860cc380c60,D,C,D,C,w,walking
a69bd1bf3c06a233d696a00d71a9db36,D,E,C,E,o,outside
84e983f432647531b55b8b72c12fb78a,E,C,B,A,E,E
68f123f22be7bff13875e8b752b2d933,A,C,D,D,c,ceiling
c9580b132b323906f0d51e7dc5b4ce29,C,D,D,D,B,B
80930e9df9ac4ad752749a54e7fc124f,B,D,B,D,n,neighborhood
f080ab037c1aaf689a43cc030e9d93e9,D,E,D,E,V,Venice
a261d4eaf8b33c0730d830ebbffbd9f8,D,E,C,E,C,C
bfd14dedb440ae1c266c61aa22960778,C,D,D,A,O,One dimensional
5a953b5fb26f1614640574f65410e8b0,D,D,D,D,c,clear
ac0351d8649fb60af40c5638061a2e21,D,C,C,C,b,beans
c8b18acf8e95172ff79b0a837e9369f3,A,D,E,D,E,E
7a7ff4499a7162265ddac0c3e2e8e5fc,E,B,B,B,g,government
fb721d7949d06915a2dd6fc6ec815325,D,A,C,A,D,D
47db2878d917ceb8d82627de4722a254,D,C,A,C,w,wildlife refuge
f03a340e093dbd5eea88feb6507ed20e,D,E,A,E,E,E
5f6296570569960a05c47a2a79656363,B,A,C,A,E,E
89586c4ab04f3133a2c7165322409c3d,C,C,C,C,D,D
98b176ac1c91370e079863d13c7dd964,E,C,A,C,s,social bonding
b13d110147ecf24562b64a69df4fe5ad,D,D,E,D,s,street
145f1ccce9aeab854f6514f927f58288,C,C,B,C,C,California
c428412a660f34965772a7389ce58e0a,E,A,D,A,E,E
80f8afc17b5b5915a327240db8bc2a52,D,A,C,A,p,proximity
a662c9971a497d601c5be888670d10ae,B,D,A,D,b,b
8bf8c8597dfc5e8ec72b486541338e33,A,D,C,D,A,A
313b72ce5b14f3d0b86b91c7bc6497be,A,D,D,D,A,A
6efbe0725841b961848b6935fe67a471,A,E,A,E,B,B
4163cfdd31feb277084ceb3996b3a851,C,D,D,D,A,A
3f720c9ad7f3eb99400dd8c81fc269d8,C,E,D,E,F,F
4dbeeb50a01a3b5c9c76d1052c4b14ea,D,C,C,C,A,A
129014ff081296c3d9bbc338c5ff32db,C,D,B,D,E,E
8f495e9bcd88ce23617197520442090c,B,D,C,D,h,have rest
6dc921840aa1e5dda3333b79007f630b,A,B,E,B,A,A
c879e1677869c4d58102c608da805453,A,B,B,B,E,E
16699879d1f1b67f1664e78324cadd65,E,A,A,A,A,A
a7c9d4f6be3bb973c4ebecb1e841b3ac,C,A,E,A,l,lake or river
9f84a7225b5da1e119ae54919f38ba79,A,C,D,C,A,A
70a97a0079878b3a46080d00a4e118fb,A,E,A,E,E,E
00dc6e53c3715d0050ffb78646cd6c7c,A,E,C,E,E,E
d829cc86312173f28b877987ae87fd7c,B,E,D,E,B,B
223d54ae26635218666dc05f42a469e9,D,E,E,E,P,Paste
f75bb741497541837b92c4c2a113f5a4,B,D,D,D,A,A
5208880ea3b34d2de7ab59aedf499225,E,A,D,A,答,答案是C。足球场
21db09783c773fed677cd5ec3b71eecf,C,C,A,E,B,B
63e0569414c0bc6e51c8c230a598ac55,C,B,B,B,B,B
142626e4fc9656c97d7d7f93822cc381,B,C,E,C,B,B
c59b184974e5f820763bd901a62a5473,B,E,E,E,l,library
58c3817107e323fdd7d70c4014990626,D,B,B,B,e,email
a7be27a64aad72c029f05a2c7fc6d55f,B,E,D,E,s,skill
6122883c3b5cd10b59a29dbd582e19c8,D,C,A,C,E,East Carolina University
5cc173999089fd11673252a58b8c0feb,A,C,E,C,B,B
d57ca8ce3f5ef4794d127c2385228698,A,C,C,C,a,augment
d6503fc1f87e3e2caeb7bf8e16526e0f,A,E,E,E,d,death
1c16c914f3e9e99c678d6f1ec30194a8,D,C,E,D,E,E
a7b24b7ab7f0065c8688ee84d47899f1,B,E,A,D,w,workplace
e97a7b91a1ca85f362c42e04c983fc2a,C,D,B,D,d,d
bc07822ca1f8892b80d632b9c03e1187,C,E,C,D,B,B
367a52860ea02568f014242ec1967d78,E,A,B,A,l,library of congress
ca9a3ccfb140aa66816f96ac983b6d9f,A,D,D,D,s,store
591221f7cf4790253d19b08d9ea1f77e,A,C,B,C,E,E
cf9904211d9c602da9e41be0e3b24aff,B,E,D,E,B,B
864ff0aa11611d0de8865034ac0ecb86,D,E,D,E,E,E
d4ebade47b1e84ab403efc715a7ca991,E,B,D,B,B,B
3c0a8fd4547feaa73b8e5d797e7ecc76,B,B,E,B,b,band
ad3aa40dec688333dba0b88e325481ea,D,A,E,E,b,bee.
1bca9774955d7e794a6e48ffcf95e728,A,B,B,B,A,A
68b13a7a996a07b8ea6731349d9348a4,C,E,D,E,l,listen
c12221a251d96e691753cfd3ac0b33c4,A,C,C,C,r,reality
de450d514150b9ff12c25026253116f8,D,E,B,D,D,D
042ce5d57aed06e6988c3739050fb1e4,D,C,C,A,D,D
77a4a131e9083f6a4c70e8f88df54056,B,A,A,A,A,"A good result of losing weight is:

increased energy"
5f26970bd0b7b4a38f185aa5d5688717,D,D,D,D,E,E
8adc90ed047cb821793c84567a14d2e2,B,A,A,A,b,body
167c0dc61979a026ebeb721f9513bda2,C,E,E,E,B,B
